Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,0,0,0,0,2900,0,71,360,1,0,1
1,1,2,0,0,3900,0,90,360,1,1,1
1,0,0,0,0,2435,0,75,360,1,2,0
1,0,0,0,0,6011,2741,230,317,1,1,0
0,0,0,0,0,2995,0,60,360,1,2,1
1,1,0,0,0,3816,754,160,360,1,2,1
1,0,0,0,0,3605,4304,135,194,0,0,0
0,0,0,0,0,3423,0,136,329,1,0,0
1,1,0,1,0,2530,1966,134,221,0,1,0
0,0,0,0,0,3762,1666,135,360,1,0,1
0,0,2,0,0,3427,0,138,360,1,2,0
1,0,0,0,0,2965,5701,155,60,1,2,1
0,1,0,1,1,7142,0,138,360,1,0,1
1,1,0,0,0,19779,0,264,360,1,0,0
1,1,1,0,0,14583,0,185,180,1,0,1
0,1,0,0,0,2423,505,130,360,1,1,1
1,1,2,0,0,3717,0,120,360,1,1,1
1,0,0,0,1,7085,0,84,360,1,1,1
0,1,0,0,0,344,1812,140,360,1,0,0
1,0,3,0,0,12500,3000,320,360,1,0,0
1,0,0,0,1,6400,0,200,360,1,0,1
1,0,0,0,0,3660,4429,163,360,0,0,0
1,1,0,1,0,2167,2400,115,360,1,2,1
1,1,0,0,0,7578,1010,175,360,1,1,1
1,1,2,0,0,2701,1589,163,360,1,0,0
1,0,0,1,0,4885,0,48,360,1,0,1
1,0,0,1,0,3620,0,25,120,1,1,1
1,0,0,0,0,3673,4477,165,360,0,1,0
1,1,0,0,0,3033,1459,95,360,1,2,1
1,1,0,1,0,3572,4114,152,360,0,0,0
1,1,1,0,0,3691,3843,185,360,0,1,0
1,1,2,1,0,3333,2000,99,360,1,1,1
1,1,0,0,1,2479,3013,188,360,1,2,1
1,1,1,0,0,3155,1779,140,360,1,1,1
1,1,2,0,0,3153,1560,134,360,1,2,1
1,1,2,0,0,3800,3600,216,360,0,2,0
0,0,1,0,0,1985,0,96,360,0,2,0
1,1,1,0,0,1538,1425,30,360,1,2,1
1,0,0,0,0,9716,3993,226,261,0,1,0
1,0,0,0,0,14715,1883,297,360,0,0,0
1,1,0,0,0,2383,3334,172,360,1,1,1
1,0,0,0,0,5849,0,120,360,1,2,1
1,0,0,0,0,1921,0,81,360,1,0,0
0,0,0,0,0,2345,0,44,360,1,1,0
0,0,0,0,0,2378,0,9,360,1,2,0
1,1,3,0,0,81000,0,360,360,0,0,0
